Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dyson Daniels,PG,19,NOP,42,11,19.2,1.7,3.7,.446,0.5,1.5,.328,1.2,2.3,.521,.510,0.5,0.7,.613,0.7,2.6,3.3,2.4,0.8,0.3,1.0,1.8,4.3
Anthony Davis,C,29,LAL,39,37,33.3,9.7,17.4,.560,0.4,1.5,.254,9.4,15.9,.590,.572,6.2,7.7,.813,3.3,9.1,12.4,2.4,1.1,2.1,2.2,2.7,26.1
Johnny Davis,SG,20,WAS,13,0,4.8,0.5,1.4,.333,0.1,0.3,.250,0.4,1.1,.357,.361,0.2,0.2,1.000,0.1,0.5,0.6,0.2,0.1,0.1,0.2,1.0,1.2
Terence Davis,SG,25,SAC,49,4,13.7,2.5,5.8,.435,1.4,3.8,.368,1.1,2.0,.561,.555,0.6,0.7,.886,0.4,2.0,2.4,1.2,0.7,0.2,0.9,1.8,7.0
JD Davison,PG,20,BOS,6,0,2.3,0.3,1.3,.250,0.0,0.5,.000,0.3,0.8,.400,.250,0.0,0.0,0,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.0,0.7
Darius Days,PF,23,HOU,4,0,6.3,1.3,3.0,.417,0.8,2.5,.300,0.5,0.5,1.000,.542,0.5,0.5,1.000,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8
Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,4.3,.496,0.4,1.2,.297,1.8,3.1,.576,.539,1.1,1.5,.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2.0,5.7
Matthew Dellavedova,PG,32,SAC,26,0,6.2,0.5,1.4,.351,0.3,0.7,.368,0.2,0.7,.333,.446,0.2,0.3,.571,0.0,0.3,0.3,1.3,0.2,0.0,0.4,0.6,1.4
DeMar DeRozan,SF,33,CHI,58,58,36.1,9.1,17.8,.512,0.5,1.5,.315,8.6,16.3,.530,.525,6.4,7.3,.871,0.4,4.0,4.5,5.1,1.0,0.5,2.2,2.7,25.1
Moussa Diabaté,PF,21,LAC,18,1,9.6,1.2,2.2,.525,0.1,0.1,.500,1.1,2.1,.526,.538,0.6,0.9,.625,1.6,0.9,2.5,0.2,0.3,0.3,0.5,0.7,2.9
Mamadi Diakite,PF,26,CLE,16,2,6.1,0.7,1.6,.423,0.3,0.9,.267,0.4,0.7,.636,.500,0.0,0.0,0,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6
Hamidou Diallo,SG,24,DET,54,0,17.4,3.8,6.5,.580,0.1,0.4,.238,3.7,6.1,.601,.587,1.6,2.6,.606,0.9,2.4,3.3,0.9,0.9,0.3,1.2,2.2,9.2
Gorgui Dieng,C,33,SAS,21,1,9.6,1.1,3.0,.387,0.6,2.0,.279,0.6,0.9,.632,.484,0.2,0.3,.833,0.9,1.8,2.6,1.4,0.1,0.3,0.8,1.4,3.1
Ousmane Dieng,SF,19,OKC,20,0,15.3,1.8,4.3,.424,0.7,2.4,.271,1.2,1.9,.622,.500,0.2,0.4,.429,0.5,2.2,2.7,1.4,0.3,0.3,0.7,1.2,4.4
Spencer Dinwiddie,PG,29,TOT,62,62,34.1,5.8,13.0,.447,2.5,6.4,.391,3.4,6.7,.501,.543,3.4,4.1,.826,0.4,2.8,3.2,5.5,0.8,0.3,1.8,2.3,17.5
Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6.0,13.1,.455,2.6,6.4,.405,3.4,6.7,.504,.555,3.2,3.9,.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
Spencer Dinwiddie,PG,29,BRK,9,9,33.8,5.1,12.8,.400,1.8,5.9,.302,3.3,6.9,.484,.470,4.3,5.1,.848,0.3,3.4,3.8,6.7,1.3,0.1,2.4,2.3,16.3
Donte DiVincenzo,SG,26,GSW,54,19,26.0,3.2,7.4,.437,2.1,5.1,.417,1.1,2.2,.483,.583,0.7,0.8,.818,1.0,3.3,4.4,3.3,1.4,0.1,1.5,1.8,9.3
Luka Dončić,PG,23,DAL,54,54,36.5,11.2,22.2,.507,2.8,7.9,.355,8.4,14.2,.592,.571,8.1,11.0,.732,0.9,7.8,8.7,8.1,1.5,0.5,3.6,2.6,33.4
Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,.800,0.3,0.7,.500,1.0,1.0,1.000,.900,0.0,0.0,0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0
Luguentz Dort,SG,23,OKC,56,55,30.2,4.9,12.0,.406,1.9,5.4,.348,3.0,6.5,.455,.485,2.6,3.4,.755,1.5,2.8,4.3,2.2,1.0,0.3,1.3,3.2,14.2
Ayo Dosunmu,SG,23,CHI,62,49,27.7,3.8,7.6,.498,0.8,2.5,.316,3.0,5.1,.587,.550,0.9,1.1,.809,0.7,2.4,3.1,2.8,0.7,0.3,1.4,2.5,9.2
Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,.100,0.2,0.7,.250,0.0,1.0,.000,.150,0.0,0.0,0,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5
Jeff Dowtin,PG,25,TOR,18,0,8.8,1.1,2.4,.442,0.2,0.6,.273,0.9,1.8,.500,.477,0.2,0.2,.750,0.3,0.6,0.9,0.9,0.2,0.1,0.3,0.6,2.4
PJ Dozier,SG,26,SAC,6,0,1.8,0.3,0.7,.500,0.2,0.5,.333,0.2,0.2,1.000,.625,0.0,0.0,0,0.0,0.3,0.3,0.0,0.5,0.0,0.0,0.0,0.8
Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,.425,0.9,2.5,.352,1.6,3.4,.480,.500,0.5,0.8,.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
Andre Drummond,C,29,CHI,51,0,13.1,2.6,4.3,.611,0.0,0.0,.000,2.6,4.3,.616,.611,1.0,1.9,.531,2.2,4.6,6.8,0.6,0.7,0.3,1.2,1.9,6.3
Chris Duarte,SF,25,IND,40,10,19.1,2.7,7.2,.372,1.1,3.7,.304,1.6,3.5,.443,.450,1.4,1.7,.836,0.4,2.2,2.6,1.4,0.5,0.2,0.9,1.5,7.9
David Duke Jr.,SG,23,BRK,17,0,8.6,1.3,2.9,.440,0.0,0.4,.000,1.3,2.6,.500,.440,0.3,0.5,.556,0.4,0.5,0.9,0.8,0.4,0.1,0.8,1.5,2.9
Kris Dunn,PG,28,UTA,4,0,22.3,5.3,10.0,.525,0.8,2.5,.300,4.5,7.5,.600,.563,0.8,1.3,.600,1.0,2.8,3.8,4.5,2.0,0.5,1.0,2.3,12.0
Kevin Durant,PF-SF,34,TOT,41,41,35.6,10.4,18.5,.563,1.8,4.8,.381,8.6,13.7,.626,.612,6.6,7.1,.932,0.4,6.4,6.8,5.2,0.8,1.5,3.4,2.3,29.3
Kevin Durant,PF,34,BRK,39,39,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
Kevin Durant,SF,34,PHO,2,2,29.0,8.5,12.5,.680,2.0,4.0,.500,6.5,8.5,.765,.760,2.5,3.0,.833,0.5,7.0,7.5,4.0,0.5,1.5,2.0,1.0,21.5
Jalen Duren,C,19,DET,52,27,25.1,3.6,5.6,.645,0.0,0.0,.000,3.6,5.6,.647,.645,1.3,2.2,.611,3.3,5.4,8.7,1.1,0.6,0.9,1.2,2.7,8.5
Tari Eason,PF,21,HOU,62,3,19.9,3.4,7.7,.446,0.7,2.0,.350,2.7,5.7,.479,.491,1.3,1.7,.757,2.3,3.4,5.7,1.0,1.1,0.6,1.1,2.2,8.9
Anthony Edwards,SG,21,MIN,65,65,36.3,8.9,19.4,.458,2.7,7.3,.368,6.2,12.1,.511,.527,4.1,5.3,.777,0.6,5.3,5.9,4.5,1.7,0.7,3.4,2.5,24.6
Kessler Edwards,SF,22,TOT,16,1,5.8,0.4,1.8,.214,0.1,0.9,.143,0.3,0.9,.286,.250,0.1,0.1,.500,0.4,0.6,1.0,0.3,0.2,0.1,0.3,0.2,0.9
Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,.250,0.1,0.9,.167,0.3,0.9,.333,.292,0.1,0.1,.500,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1
Kessler Edwards,SF,22,SAC,2,0,7.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Keon Ellis,SG,23,SAC,9,0,4.0,0.7,1.1,.600,0.6,0.9,.625,0.1,0.2,.500,.850,0.2,0.3,.667,0.3,0.4,0.8,0.3,0.2,0.1,0.1,0.7,2.1
Joel Embiid,C,28,PHI,49,49,35.1,11.0,20.6,.534,1.0,3.0,.336,10.0,17.5,.568,.559,10.1,11.8,.856,1.8,8.5,10.4,4.0,1.1,1.6,3.5,3.2,33.0
Drew Eubanks,C,25,POR,61,18,19.7,2.5,3.7,.679,0.0,0.1,.429,2.4,3.6,.687,.685,0.9,1.4,.655,1.6,3.4,5.1,1.2,0.5,1.2,0.8,2.2,6.0
Bruno Fernando,C,24,TOT,33,4,11.2,1.5,2.9,.521,0.0,0.0,.000,1.5,2.9,.526,.521,0.9,1.3,.682,1.5,2.3,3.8,0.9,0.2,0.9,0.7,2.1,3.9
Bruno Fernando,C,24,HOU,31,4,11.7,1.5,3.0,.516,0.0,0.0,.000,1.5,3.0,.522,.516,1.0,1.4,.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1
Bruno Fernando,C,24,ATL,2,0,3.0,1.0,1.5,.667,0.0,0.0,0,1.0,1.5,.667,.667,0.0,0.0,0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,2.0
Dorian Finney-Smith,PF,29,TOT,49,49,31.6,3.1,7.8,.405,1.8,5.3,.340,1.3,2.4,.551,.522,0.7,0.9,.739,1.6,3.3,4.9,1.5,0.8,0.5,0.9,2.1,8.8
Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,.416,1.9,5.4,.355,1.3,2.3,.559,.540,0.8,1.0,.750,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1
Dorian Finney-Smith,PF,29,BRK,9,9,29.1,2.8,7.8,.357,1.3,5.0,.267,1.4,2.8,.520,.443,0.4,0.7,.667,1.4,4.4,5.9,1.7,0.3,0.3,1.0,2.7,7.3
Malachi Flynn,PG,24,TOR,43,1,13.7,1.7,4.7,.370,1.0,2.6,.378,0.7,2.1,.360,.475,0.4,0.6,.708,0.3,1.2,1.5,1.5,0.4,0.1,0.4,1.3,4.8
Simone Fontecchio,SF,27,UTA,35,0,10.6,1.3,4.0,.338,0.8,2.7,.312,0.5,1.3,.391,.442,0.5,0.7,.731,0.5,0.7,1.1,0.6,0.2,0.2,0.6,0.9,4.1
Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,.361,0.6,1.8,.304,0.6,1.5,.432,.446,0.6,0.6,1.000,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6
Trent Forrest,PG,24,ATL,18,3,13.3,1.3,2.8,.480,0.0,0.1,.000,1.3,2.7,.500,.480,0.1,0.2,.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8
Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Fournier,SG,30,NYK,23,7,18.0,2.3,6.6,.351,1.4,4.4,.324,0.9,2.1,.408,.460,0.8,0.9,.857,0.2,1.8,2.0,1.5,0.6,0.1,0.8,1.9,6.8
De'Aaron Fox,PG,25,SAC,56,56,34.1,9.5,18.4,.516,1.6,4.8,.328,7.9,13.6,.582,.559,5.0,6.3,.791,0.5,3.8,4.3,6.3,1.1,0.3,2.7,2.5,25.5
Markelle Fultz,PG,24,ORL,43,43,29.4,5.5,10.9,.504,0.4,1.3,.316,5.1,9.6,.530,.524,1.9,2.4,.777,1.2,2.9,4.1,5.4,1.5,0.4,2.4,2.1,13.3
Wenyen Gabriel,PF,25,LAL,50,2,15.0,2.5,4.1,.612,0.2,0.6,.300,2.3,3.5,.665,.633,0.8,1.3,.619,1.6,2.3,3.9,0.4,0.3,0.5,0.7,2.1,6.0
Daniel Gafford,C,24,WAS,60,29,19.3,3.5,4.7,.751,0.0,0.0,0,3.5,4.7,.751,.751,1.6,2.5,.644,2.0,3.4,5.4,1.0,0.4,1.3,1.0,2.3,8.6
Darius Garland,PG,23,CLE,55,55,35.2,7.6,16.2,.470,2.6,6.1,.424,5.0,10.1,.498,.551,4.2,4.9,.858,0.4,2.2,2.7,7.9,1.3,0.1,2.9,2.1,22.0
Usman Garuba,PF,20,HOU,55,1,13.5,1.3,2.4,.523,0.3,0.6,.500,0.9,1.8,.531,.587,0.4,0.7,.575,1.7,2.8,4.5,0.9,0.7,0.5,0.7,1.7,3.2
Luka Garza,C,24,MIN,23,0,9.1,2.3,4.4,.529,0.6,1.6,.361,1.8,2.9,.621,.593,1.7,2.1,.792,1.3,1.2,2.4,0.6,0.1,0.0,0.4,1.5,6.9
Rudy Gay,PF,36,UTA,48,0,14.5,1.8,4.9,.373,0.5,2.1,.233,1.3,2.8,.481,.424,0.8,0.9,.878,0.6,2.4,3.0,1.0,0.4,0.3,0.6,1.2,4.9
Paul George,SG,32,LAC,49,49,34.2,8.0,17.5,.458,2.9,7.7,.375,5.1,9.8,.523,.540,4.5,5.1,.876,0.7,5.4,6.1,5.2,1.4,0.3,3.2,2.8,23.3
Taj Gibson,C,37,WAS,39,2,10.1,1.4,2.6,.534,0.1,0.5,.211,1.3,2.2,.607,.553,0.6,0.9,.667,0.7,1.4,2.1,0.7,0.3,0.3,0.5,1.8,3.5
Josh Giddey,SG,20,OKC,58,58,30.7,7.0,14.5,.485,0.9,2.9,.302,6.1,11.6,.531,.515,1.3,1.7,.745,2.0,5.7,7.7,6.0,0.7,0.5,2.9,2.1,16.2
Shai Gilgeous-Alexander,PG,24,OKC,54,54,35.5,10.2,20.2,.507,0.9,2.6,.338,9.4,17.6,.532,.528,9.6,10.6,.908,0.9,3.9,4.7,5.7,1.6,1.1,2.9,2.7,31.0
Anthony Gill,PF,30,WAS,42,4,10.0,1.2,2.0,.607,0.1,0.5,.158,1.1,1.5,.738,.625,0.6,0.8,.771,0.5,0.8,1.4,0.5,0.1,0.2,0.2,1.2,3.1
Rudy Gobert,C,30,MIN,53,53,30.4,5.2,7.7,.677,0.0,0.1,.000,5.2,7.7,.682,.677,3.2,4.8,.660,3.2,8.4,11.5,0.9,0.8,1.4,1.8,3.0,13.6
Jordan Goodwin,PG,24,WAS,43,4,18.0,2.3,5.2,.455,0.6,1.6,.386,1.7,3.5,.487,.516,0.8,1.1,.761,0.9,2.3,3.3,2.5,1.0,0.5,0.9,1.7,6.1
Aaron Gordon,PF,27,DEN,52,52,30.0,6.5,11.1,.583,1.0,2.6,.376,5.5,8.5,.646,.627,3.0,4.8,.627,2.4,4.4,6.8,2.9,0.8,0.8,1.6,1.9,16.9
Eric Gordon,SG,34,TOT,54,49,29.3,4.3,9.8,.435,1.8,5.1,.347,2.5,4.8,.529,.524,2.3,2.8,.815,0.2,1.8,2.0,2.8,0.6,0.4,1.6,1.0,12.6
Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,.439,1.8,5.2,.347,2.7,5.0,.536,.528,2.3,2.9,.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1
Eric Gordon,SG,34,LAC,7,2,23.4,3.0,7.6,.396,1.4,4.1,.345,1.6,3.4,.458,.491,1.9,2.3,.813,0.1,1.6,1.7,2.4,0.7,0.6,0.6,1.6,9.3
Devonte' Graham,PG,27,TOT,61,2,17.0,1.9,5.3,.366,1.5,4.2,.348,0.5,1.1,.439,.505,1.1,1.4,.761,0.3,1.3,1.5,2.5,0.6,0.2,0.6,1.0,6.4
Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,4.4,.368,1.2,3.6,.347,0.4,0.8,.463,.511,0.8,1.1,.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3
Devonte' Graham,PG,27,SAS,8,2,28.1,4.1,11.4,.363,2.9,8.3,.348,1.3,3.1,.400,.489,2.9,3.6,.793,0.6,2.1,2.8,4.4,0.8,0.5,1.0,1.4,14.0
Jerami Grant,PF,28,POR,58,58,35.7,7.0,14.6,.478,2.3,5.7,.399,4.7,9.0,.527,.555,4.5,5.5,.812,0.8,3.5,4.4,2.3,0.8,0.8,1.8,2.4,20.7
A.J. Green,SG,23,MIL,29,0,9.8,1.7,3.7,.453,1.3,3.1,.438,0.3,0.6,.529,.637,0.1,0.1,1.000,0.2,1.0,1.1,0.7,0.2,0.0,0.3,1.0,4.8
Danny Green,SG,35,TOT,6,0,11.8,1.0,3.2,.316,1.0,2.5,.400,0.0,0.7,.000,.474,0.2,0.2,1.000,0.2,0.7,0.8,0.3,0.3,0.2,0.8,1.5,3.2
Danny Green,SG,35,MEM,3,0,14.3,1.0,3.7,.273,1.0,2.7,.375,0.0,1.0,.000,.409,0.0,0.0,0,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0
Danny Green,SG,35,CLE,3,0,9.3,1.0,2.7,.375,1.0,2.3,.429,0.0,0.3,.000,.563,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.3,0.3,0.7,1.0,3.3
Draymond Green,PF,32,GSW,56,56,31.3,3.3,6.2,.524,0.6,1.8,.327,2.7,4.4,.606,.572,1.1,1.5,.698,0.8,6.6,7.4,6.8,0.9,0.8,2.6,3.1,8.2
Jalen Green,SG,20,HOU,56,56,33.6,7.3,17.7,.410,2.6,7.6,.338,4.7,10.1,.464,.482,4.6,5.8,.787,0.5,3.4,3.9,3.6,0.8,0.3,2.8,1.6,21.7
JaMychal Green,PF,32,GSW,44,1,14.2,2.4,4.5,.523,0.7,1.9,.353,1.7,2.6,.649,.598,0.9,1.2,.717,1.3,2.5,3.8,0.9,0.5,0.4,1.1,1.9,6.3
Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,.587,0.5,1.2,.382,1.7,2.5,.686,.649,1.0,1.5,.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9
Jeff Green,PF,36,DEN,40,3,19.6,3.0,6.2,.490,0.4,1.8,.243,2.6,4.4,.588,.524,1.5,2.1,.714,0.7,1.9,2.6,1.2,0.4,0.4,0.9,1.9,8.0
Josh Green,SG,22,DAL,44,11,24.8,3.3,6.0,.549,1.2,2.8,.423,2.1,3.2,.660,.648,1.4,1.9,.714,0.9,1.9,2.8,1.6,0.8,0.1,1.1,2.6,9.1
AJ Griffin,SF,19,ATL,59,11,19.8,3.5,7.5,.472,1.4,3.7,.384,2.1,3.8,.556,.566,0.5,0.5,.875,0.4,1.6,2.0,1.0,0.7,0.1,0.6,1.2,8.9
Blake Griffin,C,33,BOS,27,12,14.1,1.7,3.5,.500,0.7,1.8,.388,1.0,1.7,.622,.601,0.6,0.9,.625,0.9,2.4,3.3,1.3,0.3,0.2,0.5,1.9,4.7
Quentin Grimes,SG,22,NYK,54,49,29.5,3.5,7.9,.447,1.9,5.2,.358,1.7,2.7,.621,.566,1.0,1.3,.800,0.7,2.5,3.3,1.9,0.6,0.4,1.0,2.5,10.0
Rui Hachimura,PF,24,TOT,46,8,24.4,4.7,9.9,.475,0.9,2.7,.323,3.8,7.2,.532,.519,1.6,2.2,.733,0.9,3.8,4.7,1.0,0.3,0.4,1.0,1.1,11.9
Rui Hachimura,PF,24,WAS,30,0,24.3,5.3,10.8,.488,1.0,3.0,.337,4.3,7.8,.545,.534,1.5,1.9,.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0
Rui Hachimura,PF,24,LAL,16,8,24.6,3.7,8.3,.444,0.6,2.2,.286,3.1,6.1,.500,.481,1.9,2.7,.698,1.4,4.0,5.4,0.8,0.3,0.4,0.5,0.8,9.9
Tyrese Haliburton,PG,22,IND,51,51,33.6,7.2,14.9,.482,2.8,7.1,.398,4.3,7.7,.559,.578,2.9,3.4,.860,0.6,3.1,3.7,10.1,1.7,0.5,2.5,1.2,20.1
Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,.321,0.3,1.7,.200,0.7,1.4,.462,.375,0.8,1.0,.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1
R.J. Hampton,PG,21,TOT,29,0,13.7,1.8,4.2,.421,0.6,1.9,.321,1.1,2.2,.508,.496,1.1,1.3,.838,0.3,1.2,1.5,1.2,0.6,0.2,0.8,0.8,5.2
R.J. Hampton,PG,21,ORL,26,0,13.9,1.9,4.4,.439,0.7,2.0,.340,1.2,2.3,.525,.518,1.2,1.4,.838,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7
R.J. Hampton,PG,21,DET,3,0,11.7,0.3,2.3,.143,0.0,1.0,.000,0.3,1.3,.250,.143,0.0,0.0,0,0.0,1.7,1.7,0.3,0.7,0.3,0.3,0.3,0.7
Tim Hardaway Jr.,SG,30,DAL,58,37,30.0,4.6,12.1,.383,2.9,7.8,.366,1.8,4.2,.416,.502,1.8,2.3,.763,0.3,3.3,3.6,1.7,0.7,0.1,0.8,1.6,13.9
James Harden,PG,33,PHI,46,46,36.7,6.6,14.5,.453,2.9,7.3,.401,3.6,7.2,.506,.554,5.7,6.5,.870,0.6,5.6,6.2,10.6,1.2,0.6,3.5,2.0,21.7
Jaden Hardy,SG,20,DAL,32,0,11.6,2.2,5.1,.423,0.8,2.3,.342,1.4,2.8,.489,.500,1.3,1.5,.875,0.1,1.3,1.3,0.8,0.3,0.1,0.8,1.3,6.4
Ron Harper Jr.,SF,22,TOR,4,0,3.5,1.0,1.8,.571,0.5,1.0,.500,0.5,0.8,.667,.714,0.0,0.0,0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,2.5
Montrezl Harrell,C,29,PHI,51,7,12.3,2.2,3.6,.602,0.0,0.0,.000,2.2,3.6,.609,.602,1.2,1.7,.694,1.2,1.6,2.7,0.6,0.3,0.5,0.6,1.5,5.5
Gary Harris,SG,28,ORL,35,29,24.8,2.9,6.3,.468,1.8,4.2,.435,1.1,2.1,.534,.614,0.7,0.8,.893,0.5,1.7,2.2,1.2,0.9,0.1,0.6,2.0,8.4
Joe Harris,SG,31,BRK,56,32,22.7,2.9,6.4,.458,1.9,4.6,.420,1.0,1.8,.554,.609,0.3,0.4,.625,0.3,2.1,2.4,1.5,0.5,0.2,0.6,2.3,8.1
Kevon Harris,SG,25,ORL,27,0,12.4,1.2,2.9,.416,0.4,1.0,.393,0.8,1.8,.429,.487,0.8,1.0,.815,0.9,1.1,2.0,0.4,0.5,0.1,0.6,1.3,3.6
Tobias Harris,PF,30,PHI,58,58,33.7,6.0,12.0,.501,1.8,4.6,.383,4.3,7.4,.576,.575,1.4,1.6,.860,0.9,4.9,5.8,2.6,1.0,0.5,1.3,2.0,15.2
Josh Hart,SF-SG,27,TOT,59,51,32.5,3.7,7.1,.519,0.8,2.2,.348,2.9,4.8,.598,.574,1.7,2.3,.723,1.8,6.0,7.8,3.8,1.1,0.2,1.5,2.6,9.8
Josh Hart,SF,27,POR,51,51,33.4,3.6,7.1,.504,0.7,2.2,.304,2.9,4.9,.594,.551,1.7,2.3,.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5
Josh Hart,SG,27,NYK,8,0,27.0,4.3,6.9,.618,1.5,2.5,.600,2.8,4.4,.629,.727,1.5,2.3,.667,1.3,4.1,5.4,3.4,1.4,0.6,1.4,2.8,11.5
Isaiah Hartenstein,C,24,NYK,65,7,19.6,2.2,4.1,.524,0.1,0.5,.235,2.0,3.6,.566,.539,0.6,0.9,.750,2.8,3.8,6.6,0.9,0.6,0.8,0.8,2.5,5.1
Udonis Haslem,C,42,MIA,6,1,7.7,0.2,2.0,.083,0.0,0.3,.000,0.2,1.7,.100,.083,0.2,0.3,.500,0.7,0.7,1.3,0.0,0.2,0.2,0.0,1.3,0.5
Sam Hauser,PF,25,BOS,62,4,15.5,2.2,4.8,.458,1.7,4.0,.419,0.5,0.8,.653,.632,0.2,0.2,.667,0.4,2.1,2.5,0.7,0.3,0.3,0.3,1.3,6.2
Jaxson Hayes,C,22,NOP,37,2,13.6,1.9,3.4,.552,0.1,0.7,.111,1.8,2.6,.673,.564,1.3,1.9,.690,0.9,2.1,2.9,0.8,0.5,0.4,0.6,1.4,5.1
Killian Hayes,PG,21,DET,59,40,27.0,3.8,10.2,.372,1.2,3.8,.300,2.6,6.3,.416,.428,0.8,1.0,.817,0.3,2.4,2.7,5.9,1.4,0.4,2.0,3.0,9.5
Gordon Hayward,SF,32,CHO,39,39,31.4,5.5,11.6,.471,1.1,3.3,.328,4.4,8.4,.528,.518,2.6,3.2,.810,0.7,3.6,4.3,3.8,0.9,0.2,2.0,1.5,14.7
Juancho Hernangómez,PF,27,TOR,42,10,14.6,1.1,2.7,.421,0.4,1.6,.254,0.7,1.1,.660,.496,0.2,0.4,.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9
Willy Hernangómez,C,28,NOP,32,2,13.1,2.5,4.8,.519,0.1,0.3,.200,2.4,4.5,.542,.526,2.4,3.1,.788,1.8,3.4,5.2,0.9,0.4,0.4,1.1,1.8,7.5
Tyler Herro,SG,23,MIA,50,50,35.4,7.4,17.1,.433,3.0,8.1,.373,4.4,9.0,.487,.522,2.6,2.8,.922,0.5,5.2,5.6,4.4,0.8,0.3,2.4,1.7,20.4
Buddy Hield,SF,30,IND,64,64,32.0,6.2,13.5,.458,3.8,8.8,.427,2.4,4.7,.515,.597,1.4,1.6,.854,0.8,4.1,4.9,2.7,1.2,0.3,1.8,2.0,17.4
Haywood Highsmith,SF,26,MIA,45,9,19.0,1.8,4.2,.426,0.8,2.2,.356,1.0,2.0,.506,.521,0.2,0.5,.458,1.0,2.6,3.6,0.7,0.7,0.3,0.8,1.6,4.6
George Hill,PG,36,TOT,37,1,18.7,1.7,3.7,.456,0.6,2.1,.316,1.0,1.6,.633,.544,0.9,1.2,.739,0.4,1.5,1.8,2.4,0.6,0.1,0.7,1.2,4.9
George Hill,PG,36,MIL,35,0,19.1,1.7,3.8,.447,0.7,2.1,.311,1.0,1.7,.621,.534,1.0,1.3,.739,0.4,1.5,1.9,2.5,0.5,0.1,0.8,1.2,5.0
George Hill,PG,36,IND,2,1,12.5,1.5,2.0,.750,0.5,1.0,.500,1.0,1.0,1.000,.875,0.0,0.0,0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,3.5
Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,.500,0.2,0.6,.333,0.2,0.2,1.000,.625,0.0,0.0,0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0
Aaron Holiday,PG,26,ATL,52,5,14.0,1.5,3.6,.418,0.6,1.4,.413,0.9,2.2,.421,.500,0.5,0.5,.857,0.4,0.9,1.3,1.3,0.5,0.2,0.6,1.3,4.1
Jrue Holiday,PG,32,MIL,51,49,32.8,7.5,15.9,.472,2.4,6.4,.377,5.1,9.6,.536,.547,2.3,2.7,.861,1.2,4.0,5.1,7.2,1.2,0.4,2.9,1.8,19.8
Justin Holiday,SG,33,TOT,32,2,15.2,1.7,4.4,.387,1.2,3.2,.363,0.6,1.3,.450,.518,0.0,0.1,.000,0.1,0.8,0.9,0.9,0.3,0.4,0.4,1.4,4.6
